taxon,dlc_id,hybrid,sex,name,current_resident,stud_book,dob,birth_month,estimated_dob,birth_type,birth_institution,litter_size,expected_gestation,estimated_concep,concep_month,dam_id,dam_name,dam_taxon,dam_dob,dam_age_at_concep_y,sire_id,sire_name,sire_taxon,sire_dob,sire_age_at_concep_y,dod,age_at_death_y,age_of_living_y,age_last_verified_y,age_max_live_or_dead_y,n_known_offspring,dob_estimated,weight_g,weight_date,month_of_weight,age_at_wt_d,age_at_wt_wk,age_at_wt_mo,age_at_wt_mo_no_dec,age_at_wt_y,change_since_prev_wt_g,days_since_prev_wt,avg_daily_wt_change_g,days_before_death,r_min_dam_age_at_concep_y,age_category,preg_status,expected_gestation_d,concep_date_if_preg,infant_dob_if_preg,days_before_inf_birth_if_preg,pct_preg_remain_if_preg,infant_lit_sz_if_preg
PCOQ,6964,N,M,Romulus,N,247,2010-02-03,2,NA,CB,Duke Lemur Center,1,160,2009-08-27,8,6744,Rupillia,PCOQ,1999-02-16,10.53,6207,Tiberius,PCOQ,1988-01-20,21.62,2017-08-08,7.52,NA,NA,7.52,NA,NA,3880,2012-10-11,10,981,140.14,32.25,32,2.69,200,28,7.14,1762,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6959,N,M,Rupert,Y,242,2009-12-15,12,NA,CB,Duke Lemur Center,1,160,2009-07-08,7,6727,Antonia,PCOQ,1998-02-22,11.38,6608,OTHO,PCOQ,1994-09-12,14.83,NA,NA,9.15,NA,9.15,2,NA,3060,2012-08-21,8,980,140,32.22,32,2.68,20,28,0.71,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6744,N,F,Rupillia,Y,184,1999-02-16,2,NA,CB,Duke Lemur Center,1,160,1998-09-09,9,6108,FLAVIA,PCOQ,1982-07-01,16.2,597,NIGEL,PCOQ,1972-02-10,26.6,NA,NA,19.99,NA,19.99,8,NA,3630,2001-11-07,11,995,142.14,32.71,32,2.73,-40,72,-0.56,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6117,N,F,SABINA,N,136,1986-07-07,7,NA,CB,Duke Lemur Center,1,160,1986-01-28,1,6108,FLAVIA,PCOQ,1982-07-01,3.58,NA,NA,NA,NA,NA,1993-06-04,6.92,NA,NA,6.92,NA,NA,6519,1989-04-18,4,1016,145.14,33.4,33,2.78,246,94,2.62,1508,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,5944,N,M,TRAJAN,N,125,1980-07-01,7,Y,WB,Madagascar /,NA,160,1980-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,2008-12-31,28.52,NA,NA,28.52,18,Y,3597,1984-07-18,7,1478,211.14,48.59,48,4.05,NA,NA,NA,8932,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6807,N,M,Theodosius,N,203,2003-03-03,3,NA,CB,Duke Lemur Center,1,160,2002-09-24,9,6538,Drusilla,PCOQ,1993-04-06,9.47,6518,Julian,PCOQ,1993-03-04,9.56,2012-11-27,9.75,NA,NA,9.75,1,NA,3260,2005-11-14,11,987,141,32.45,32,2.7,0,31,0,2570,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7070,N,M,Thrax,N,255,2011-11-12,11,NA,CB,Maryland Zoo in Baltimore,NA,160,2011-06-05,6,6828,Anastasia,PCOQ,2004-02-18,7.3,6797,Gratian,PCOQ,2002-04-14,9.15,NA,NA,7.24,NA,7.24,NA,NA,3420,2014-07-13,7,974,139.14,32.02,32,2.67,-80,17,-4.71,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6207,N,M,Tiberius,N,140,1988-01-20,1,NA,CB,Duke Lemur Center,1,160,1987-08-13,8,6109,OCTAVIA,PCOQ,1982-07-01,5.12,5945,HADRIAN,PCOQ,1982-07-01,5.12,2016-04-01,28.22,NA,NA,28.22,18,NA,4485,1991-03-22,3,1157,165.29,38.04,38,3.17,2642,926,2.85,9142,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6450,N,M,VALENTINIAN,N,149,1991-11-02,11,NA,CB,Duke Lemur Center,1,160,1991-05-26,5,5703,CORNELIA,PCOQ,1977-07-01,13.91,5944,TRAJAN,PCOQ,1980-07-01,10.91,2012-01-30,20.26,NA,NA,20.26,7,NA,4130,1994-07-11,7,982,140.29,32.28,32,2.69,730,89,8.2,6412,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6107,N,M,VESPASIAN,N,130,1984-07-01,7,Y,WB,Madagascar /,NA,160,1984-01-23,1,WILD,NA,NA,NA,NA,WILD,NA,NA,NA,NA,1993-04-22,8.81,NA,NA,8.81,NA,Y,3686,1987-03-30,3,1002,143.14,32.94,32,2.75,372,83,4.48,2215,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7202,N,F,Valeria,Y,292,2015-01-28,1,NA,CB,Duke Lemur Center,1,160,2014-08-21,8,6727,Antonia,PCOQ,1998-02-22,16.5,6650,Gordian,PCOQ,1995-12-17,18.69,NA,NA,4.03,NA,4.03,NA,NA,4040,2017-09-24,9,970,138.57,31.89,31,2.66,120,28,4.29,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,7200,N,M,Wenceslaus the Idle,Y,290,2015-01-24,1,NA,CB,Duke Lemur Center,1,160,2014-08-17,8,6897,Rodelinda,PCOQ,2007-08-06,7.04,6827,Marcus Aurelius,PCOQ,2004-02-16,10.51,NA,NA,4.04,NA,4.04,NA,NA,4000,2017-10-29,10,1009,144.14,33.17,33,2.76,140,48,2.92,NA,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
PCOQ,6757,N,M,ZENO,N,187,2000-02-02,2,NA,CB,Duke Lemur Center,1,160,1999-08-26,8,6398,PAULINA,PCOQ,1991-01-24,8.59,6610,NERO,PCOQ,1994-12-04,4.73,2011-10-15,11.71,NA,NA,11.71,4,NA,3800,2002-10-24,10,995,142.14,32.71,32,2.73,300,51,5.88,3278,2.64,young_adult,NP,NA,NA,NA,NA,NA,NA
